model,seed,fold_id,train_rmse,test_rmse,train_r2,test_r2
BRT,42,5,4.755397582746693,7.177322997735772,0.9930211129385678,0.9800798249677327
CatBoost,52,1,2.334887489956523,4.312468250699588,0.9982844060112803,0.9934370633971306
CatBoost,52,2,2.4835104319484365,16.484762733654776,0.9979563432605433,0.9218499434721824
CatBoost,52,3,2.275343166385978,6.339360688110325,0.998328323330054,0.9872816644036368
CatBoost,52,4,2.4012588952875187,4.708796580207197,0.9981866595192422,0.992157038228505
CatBoost,52,5,2.36974275156765,6.867569994847895,0.9981749443883292,0.9854398330806564
XGBoost,52,1,1.4367460566960568,5.096204270099632,0.9993504050695073,0.9908348401815498
XGBoost,52,2,1.3168624009392909,14.425139353769785,0.9994254117107194,0.940158299008697
XGBoost,52,3,1.3971536930382866,8.015516682494352,0.9993697006846023,0.9796669560018847
XGBoost,52,4,1.5140776471295,6.716384809351014,0.9992790623955374,0.9840437298398947
XGBoost,52,5,1.4820952207907498,5.665510301263218,0.999286118859078,0.9900908082611429
LGBM,52,1,2.900193528999014,6.28242016402616,0.9973531059500155,0.9860716284209303
LGBM,52,2,2.932114447007928,15.962381291945038,0.9971513584130509,0.9267244214347174
LGBM,52,3,2.885170760820353,6.706947900279338,0.9973121717520816,0.9857639592912933
LGBM,52,4,2.9482440341387006,5.994937357969076,0.9972664423326986,0.9872875417871929
LGBM,52,5,2.8623046783813204,7.389445633908672,0.9973374031356693,0.98314286047785
RFR,52,1,2.565430886851139,4.8940799389573835,0.9979288896563454,0.9915474352735484
RFR,52,2,2.4329128274656964,16.201279843477995,0.9980387675468071,0.9245146727219224
RFR,52,3,2.2301130562784177,7.818978912424577,0.9983941231777749,0.980651850278042
RFR,52,4,2.4883579541090293,5.053186721129116,0.9980527258784523,0.990967854357993
RFR,52,5,2.3190356069740012,6.838816895206482,0.9982522129013464,0.9855614986858325
GBR,52,1,5.2219222098758875,6.234281937114074,0.9914188914628527,0.9862842593287757
GBR,52,2,5.289175183531593,18.61105215467655,0.9907305945734859,0.9003893561038101
GBR,52,3,5.023086202185134,9.160358113879736,0.9918529621908669,0.9734439021477638
GBR,52,4,5.319271641467144,6.883921475745931,0.9911017270826051,0.9832377599856486
GBR,52,5,4.94866543825791,9.096199400542174,0.9920411580063737,0.9744565173816346
BRT,52,1,5.037303742996554,4.487024845705039,0.9920149272472658,0.9928950122045686
BRT,52,2,3.931724353077197,18.28047190945865,0.9948779702137849,0.9038966114813078
BRT,52,3,4.573250812567431,8.330692946708904,0.9932468171364386,0.9780364968478571
BRT,52,4,4.899303280232388,5.842908449958155,0.9924513370918681,0.9879241307350974
BRT,52,5,4.574215032676353,6.834981238455364,0.9932000323121072,0.985577690259669
CatBoost,62,1,2.3407927523409504,4.851409515759056,0.9982323049488756,0.9925296823837081
CatBoost,62,2,2.208389427414263,5.407512350309012,0.9984281466201462,0.9906855648827405
CatBoost,62,3,2.4897858242151427,4.227085451109223,0.9980054267371784,0.9942682197723169
CatBoost,62,4,2.2536988887064973,6.060354906603817,0.9984082228909698,0.9868203117130001
CatBoost,62,5,2.3725793970354405,4.796363392634023,0.998153796873931,0.9931411181510169
XGBoost,62,1,1.4274131414069064,5.959427301791551,0.999342674017302,0.9887277075350734
XGBoost,62,2,1.3458735305050953,5.563541928933562,0.9994161931069971,0.9901402883826622
XGBoost,62,3,1.6813582464417098,3.760128924769385,0.9990904082141602,0.9954646276560074
XGBoost,62,4,1.2164025261574305,5.822125167785589,0.9995362914532068,0.9878361207965239
XGBoost,62,5,1.3171801819240327,5.385932597815428,0.9994309789299551,0.9913512968558849
LGBM,62,1,2.9620332300427674,7.747955344067109,0.9971695123084301,0.9809463837670449
LGBM,62,2,3.0462934778804467,5.56621628137623,0.9970090841382204,0.9901308071271181
LGBM,62,3,2.7860739721563115,4.821868869543902,0.9975024666318278,0.9925417271612738
LGBM,62,4,2.8229045349473383,7.482613255683226,0.9975026301939338,0.9799083492313369
LGBM,62,5,3.3816630245046246,6.135357274991427,0.9962494182999223,0.9887770021977749
RFR,62,1,2.533045636315519,6.238140725472021,0.9979300138178312,0.9876486755192223
RFR,62,2,2.782705732657634,7.541445593038395,0.9975042833288901,0.9818836506759864
RFR,62,3,2.4372785785288404,4.4844336741897575,0.9980886670090233,0.9935490647068123
RFR,62,4,2.536802403633948,7.284847281711333,0.9979831957174339,0.9809563616143401
RFR,62,5,2.85622878535449,6.801084683492706,0.9973243829431889,0.9862093248818741
GBR,62,1,5.165985795855556,7.909367475455446,0.9913903036808781,0.9801442313917629
GBR,62,2,5.170149166225949,8.234653038232748,0.991384770298132,0.9784000825106127
GBR,62,3,5.163775666760179,6.36989432085055,0.9914205243389463,0.9869841681292932
GBR,62,4,5.254165437447109,7.680314704050402,0.9913483695528396,0.9788326225383026
GBR,62,5,5.208345416641857,7.104477839838795,0.9911031241527699,0.9849514903751184
BRT,62,1,4.9411084449948595,6.7646775540001896,0.9921235560072262,0.9854756269056782
BRT,62,2,5.138550166360484,10.579104883247421,0.9914897578780139,0.9643500169679108
BRT,62,3,4.666960587487545,5.056714521180445,0.9929919969889295,0.9917975357232806
BRT,62,4,5.609854647810124,7.477667992657959,0.9901373484111928,0.9799348976205766
BRT,62,5,5.302986648990584,9.441210458433972,0.9907768549247421,0.9734243117806735
